epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,25.2,1.38189,2.18167,1.80386,0.00333,1,0.02488,0.01492,2.62175,4.40904,3.44251,0.00102115,0.00102115,0.00102115
67,25.5335,0.59882,1.66388,1.21267,0.00333,1,0.02488,0.01492,2.62175,4.40904,3.44251,0.0010325,0.0010325,0.0010325
68,25.8677,1.39611,2.29549,2.04166,0.00333,1,0.02488,0.01492,2.62175,4.40904,3.44251,0.00104373,0.00104373,0.00104373
69,26.2137,1.00057,1.75076,1.19415,0.00333,1,0.02488,0.01492,2.62175,4.40904,3.44251,0.00105482,0.00105482,0.00105482
70,26.5339,0.62026,1.7392,0.92816,0.00333,1,0.02488,0.01492,2.62175,4.40904,3.44251,0.00106577,0.00106577,0.00106577
71,26.8813,2.00652,3.01785,1.67641,0.00333,1,0.01157,0.00231,4.1148,3.91499,3.76427,0.0010766,0.0010766,0.0010766
72,27.2205,1.37179,2.15979,1.35752,0.00333,1,0.01157,0.00231,4.1148,3.91499,3.76427,0.00108729,0.00108729,0.00108729
73,27.5672,1.87199,2.08866,1.74695,0.00333,1,0.01157,0.00231,4.1148,3.91499,3.76427,0.00109786,0.00109786,0.00109786
74,27.9358,1.77402,2.15138,2.30766,0.00333,1,0.01157,0.00231,4.1148,3.91499,3.76427,0.00110829,0.00110829,0.00110829
75,28.2935,1.43381,2.26464,1.49777,0.00333,1,0.01157,0.00231,4.1148,3.91499,3.76427,0.00111858,0.00111858,0.00111858
76,28.611,0.7483,1.77096,1.0659,0.00333,1,0.01157,0.00231,4.1148,3.91499,3.76427,0.00112875,0.00112875,0.00112875
77,28.9688,0.66889,1.75781,1.09827,0.00333,1,0.00743,0.00149,3.68298,5.49735,3.42951,0.00113878,0.00113878,0.00113878
78,29.2754,1.35561,3.55048,1.62976,0.00333,1,0.00743,0.00149,3.68298,5.49735,3.42951,0.00114869,0.00114869,0.00114869
79,29.6302,0.80341,2.63518,0.9174,0.00333,1,0.00743,0.00149,3.68298,5.49735,3.42951,0.00115846,0.00115846,0.00115846
80,29.9808,2.26653,2.40366,1.7845,0.00333,1,0.00743,0.00149,3.68298,5.49735,3.42951,0.00116809,0.00116809,0.00116809
81,30.3024,0.55992,1.87987,1.0659,0.00333,1,0.00743,0.00149,3.68298,5.49735,3.42951,0.0011776,0.0011776,0.0011776
82,30.6402,0.72593,1.45093,1.21206,0.00333,1,0.00743,0.00149,3.68298,5.49735,3.42951,0.00118697,0.00118697,0.00118697
83,30.9913,1.16019,1.70007,1.0971,0.00333,1,0.00743,0.00149,3.68298,5.49735,3.42951,0.00119622,0.00119622,0.00119622
84,31.3744,1.31673,1.65073,1.2495,0.00333,1,0.00921,0.00184,3.85845,5.25881,3.82678,0.00120533,0.00120533,0.00120533
85,31.6867,1.57704,2.35008,1.72162,0.00333,1,0.00921,0.00184,3.85845,5.25881,3.82678,0.0012143,0.0012143,0.0012143
86,32.0172,0.87752,1.84485,1.12941,0.00333,1,0.00921,0.00184,3.85845,5.25881,3.82678,0.00122315,0.00122315,0.00122315
87,32.35,0.74259,1.48915,1.0497,0.00333,1,0.00921,0.00184,3.85845,5.25881,3.82678,0.00123186,0.00123186,0.00123186
88,32.6958,1.30478,1.94406,1.24467,0.00333,1,0.00921,0.00184,3.85845,5.25881,3.82678,0.00124045,0.00124045,0.00124045
89,33.019,0.95753,3.60904,1.2843,0.00333,1,0.00921,0.00184,3.85845,5.25881,3.82678,0.0012489,0.0012489,0.0012489
90,33.3743,2.07515,2.2973,1.86355,0.00333,1,0.00921,0.00184,3.85845,5.25881,3.82678,0.00125721,0.00125721,0.00125721
91,33.7091,1.25566,2.37868,1.28678,0.00333,1,0.00873,0.00087,3.98376,4.17516,3.76431,0.0012654,0.0012654,0.0012654
92,34.0369,1.56524,2.38824,1.55762,0.00333,1,0.00873,0.00087,3.98376,4.17516,3.76431,0.00127345,0.00127345,0.00127345
93,34.3546,0.99509,2.0283,1.62362,0.00333,1,0.00873,0.00087,3.98376,4.17516,3.76431,0.00128138,0.00128138,0.00128138
94,34.6761,1.28247,2.08299,2.32332,0.00333,1,0.00873,0.00087,3.98376,4.17516,3.76431,0.00128917,0.00128917,0.00128917
95,35.0248,0.94135,2.34277,1.24213,0.00333,1,0.00873,0.00087,3.98376,4.17516,3.76431,0.00129682,0.00129682,0.00129682
96,35.3455,1.38131,1.85821,1.39808,0.00333,1,0.00873,0.00087,3.98376,4.17516,3.76431,0.00130435,0.00130435,0.00130435
97,35.7047,0.82557,1.35216,1.09458,0.00333,1,0.00873,0.00087,3.98376,4.17516,3.76431,0.00131174,0.00131174,0.00131174
98,36.0395,2.60786,3.11369,2.65107,0.00333,1,0.00873,0.00087,3.98376,4.17516,3.76431,0.00131901,0.00131901,0.00131901
99,36.3808,0.63951,1.93032,0.92096,0,0,0,0,4.46117,4.41509,4.78648,0.00132614,0.00132614,0.00132614
100,36.7173,0.96712,1.38536,1.06039,0,0,0,0,4.46117,4.41509,4.78648,0.00133313,0.00133313,0.00133313
101,37.05,0.9789,1.47128,1.2287,0,0,0,0,4.46117,4.41509,4.78648,0.00134,0.00134,0.00134
102,37.3752,2.15042,3.53477,2.32854,0,0,0,0,4.46117,4.41509,4.78648,0.0013334,0.0013334,0.0013334
103,37.7179,2.7373,4.19056,2.88155,0,0,0,0,4.46117,4.41509,4.78648,0.0013268,0.0013268,0.0013268
104,38.0486,1.16913,2.03483,1.24443,0,0,0,0,4.46117,4.41509,4.78648,0.0013202,0.0013202,0.0013202
105,38.3666,0.55415,1.70182,1.34047,0,0,0,0,4.46117,4.41509,4.78648,0.0013136,0.0013136,0.0013136
106,38.6782,1.92511,2.07236,1.66755,0,0,0,0,4.46117,4.41509,4.78648,0.001307,0.001307,0.001307
107,39.0176,1.18531,1.47656,1.4644,0.00333,1,0.00957,0.00267,2.5027,4.43785,4.07255,0.0013004,0.0013004,0.0013004
108,39.3232,0.72792,2.57153,1.13879,0.00333,1,0.00957,0.00267,2.5027,4.43785,4.07255,0.0012938,0.0012938,0.0012938
